lis,name,building,level,google_id,image_url,permission,hasTable,hasWifi,capacity,hasMicrowave,hasSocket,hasFood,noEating,hasCoffee,hasComputer
1,Food Hall,The Fraser Building,3,ChIJs2n0CtJFiEgRdLveBYNVzjk,https://i0.wp.com/www.glasgowarchitecture.co.uk/images/jpgs/fraser_building_pp210809_3.jpg,None,TRUE,TRUE,400,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
2,Student Service,The Fraser Building,2,ChIJs2n0CtJFiEgRdLveBYNVzjk, https://payload.cargocollective.com/1/6/208556/2971675/Fraser-Building-1.jpg ,None,TRUE,TRUE,40,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
3,Foyer,Sir Charles Wilson Building,2,ChIJXyNVWM1FiEgR9qmOfMVWvbg,https://www.gla.ac.uk/media/Media_617732_smxx-640x420.jpg,None,TRUE,TRUE,32,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,Corridor,Sir Charles Wilson Building,1,ChIJXyNVWM1FiEgR9qmOfMVWvbg,https://disabledgoimageslive.blob.core.windows.net/access-guides/ee77624e-597f-e749-bf3b-aaf762823343/4b9ae75a-9768-2c46-9887-714469c107cf.jpg,None,TRUE,TRUE,16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,One A The Square,Adam Smith Business School - West Quadrangle,2,ChIJ_Xl7c9JFiEgRsaJCGEZBK_4,https://disabledgoimageslive.blob.core.windows.net/access-guides/2a0c8660-0774-c742-8b9c-bce747c681dd/7b458f1a-0b6b-8241-9b75-e750613035dc.jpg,None,TRUE,TRUE,100,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
6,Atrium Caf?,Wolfson Medical School Building,2,ChIJP3FvMM5FiEgR5bDCsb73UhY,https://images.meetingsbooker.com/images/venues/wolfson-medical-school-4.jpg,None,TRUE,TRUE,80,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
7,Cafe Picolino,Boyd Orr Building,2,ChIJ84mnP85FiEgRggBlYJGkBVc,https://pbs.twimg.com/media/DMPk8lTWkAAWyZf?format=jpg&name=small,None,TRUE,TRUE,50,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
8,Refresh & Refuel,St Andrews Building,2,ChIJD0Stdi1EiEgRsn0lWEAV7z8,https://disabledgoimageslive.blob.core.windows.net/access-guides/11ade2f2-7ef6-5d4c-b04b-a19b9125a423/fd08d1fe-b060-2746-b96e-ec269e9a091d.jpg,None,TRUE,TRUE,60,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
9,Gilchrist Postgraduate Club,Gilbert Scott Building,2,ChIJrV77DtJFiEgRRJLnlhTaNfw,https://scontent-lhr8-1.xx.fbcdn.net/v/t1.0-0/p640x640/45064129_1402021349900905_6821799236019945472_o.jpg?_nc_cat=104&_nc_sid=e007fa&_nc_oc=AQnau2MuI9TW30SWhVYHuZ-vfIgoSTYPbIvxjnu5nRoYNYDknFRuR1BpHLZjBc9avfE&_nc_ht=scontent-lhr8-1.xx&_nc_tp=6&oh=95ebc895fb4d10623551846f8776f1ac&oe=5F0172BA,Postgraduate Student/Staff ID required,TRUE,TRUE,50,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
10,Cafe Twenty2,Queen Margaret Union,1,ChIJV03TEs5FiEgR8VtLsutgOa4,https://pbs.twimg.com/media/DV2OKXxXkAE4IxJ?format=jpg&name=large,None,TRUE,TRUE,48,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
11,Common Room,Queen Margaret Union,2,ChIJV03TEs5FiEgR8VtLsutgOa4,https://www.glasgowtimes.co.uk/resources/images/8866997/?type=responsive-gallery,None,TRUE,TRUE,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Study Space,Queen Margaret Union,3,ChIJV03TEs5FiEgR8VtLsutgOa4,https://gutechsoc.com/images/galleries/cdx_2018/i/124.jpg,None,TRUE,TRUE,65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Bistro,Queen Margaret Union,2,ChIJV03TEs5FiEgR8VtLsutgOa4,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRkPzLL_HKGzbPCAW_ZVX_q9GX58udF3ytU_9qchqSn2TRXuxgv,None,TRUE,TRUE,84,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
14,Beer Bar,Glasgow University Union,1,ChIJ3SIsZltFiEgRVjcb8D94KPE,https://s3-media0.fl.yelpcdn.com/bphoto/fdkOkHqFfPjwoSptRglM9A/o.jpg,None,TRUE,TRUE,80,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
15,The Union Kitchen,Glasgow University Union,1,ChIJ3SIsZltFiEgRVjcb8D94KPE,https://s3-media0.fl.yelpcdn.com/bphoto/fdkOkHqFfPjwoSptRglM9A/o.jpg,None,TRUE,TRUE,70,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
16,G12 Cafe Bar,Glasgow University Union,1,ChIJ3SIsZltFiEgRVjcb8D94KPE,https://s3-media0.fl.yelpcdn.com/bphoto/SzTQXPQFRUPnxPE_gZXSNg/l.jpg,None,TRUE,TRUE,50,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
17,Student Computer Cluster,St Andrews Building,2,ChIJD0Stdi1EiEgRsn0lWEAV7z8,https://policyscotland.gla.ac.uk/wp-content/uploads/2014/12/digital-student-expectations.jpg,None,TRUE,TRUE,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
18,Common Room,James Watt Building,1,ChIJwcYVXtJFiEgRxDxA7xSRP6Y,https://disabledgoimageslive.blob.core.windows.net/access-guides/029bbdaa-e277-0745-8f4a-b7a340c04078/a3b6da05-6b17-f047-96f7-e418a444ead9.jpg,None,TRUE,TRUE,36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
19,Common Room,Sir Alexander Stone Building,1,ChIJHS6QC85FiEgRg4kfcZYiD1g,https://disabledgoimageslive.blob.core.windows.net/access-guides/efd4ac76-b463-1440-b6c3-652d8983528b/058fcf9a-6e99-614f-9960-4ba699a41b96.jpg,None,TRUE,TRUE,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
20,Common Room,Adam Smith Building,2,ChIJ-eWF3c1FiEgRkezEd5t9xkc,https://www.gla.ac.uk/media/Media_616977_smxx.jpg,None,TRUE,TRUE,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
21,Sofa area,Graham Kerr Building,2,ChIJ9UILxdFFiEgRcczDSTMY9Lc,https://disabledgoimageslive.blob.core.windows.net/access-guides/bdc81d97-344b-d244-89b7-232c207176e7/dd0b8ff2-431d-af4b-8e71-5874d562c941.jpg,None,FALSE,TRUE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
